title,ingredients_raw,ingredients_processed,instructions,language,heat_processed,cuisine_tags,vegan,vegetarian,processing_error
Classic (Paleo) Potato Salad,"['2 pounds organic potatoes (Russet will be mushier; red/yukon gold/fingerling will be waxier.)', '1 tablespoon salt', '4 strips sugar-free, nitrate-free bacon', '2 tablespoons white distilled vinegar', '4 large hard-boiled eggs, peeled and diced', '1 medium stalk celery, diced (about 1/2 cup)', '1/2 medium yellow or red onion, diced (about 1/2 cup)', '1/2 cup fresh parsley leaves, minced (about 2 tablespoons)', '1 tablespoon dried chives', '3/4 teaspoon dried mustard', '1/2 teaspoon paprika', '1/2 teaspoon ground black pepper', '3/4 cup Olive Oil Mayo']","[{""ingredient"": ""organic potatoes"", ""heat_processed"": true}, {""ingredient"": ""sugar-free, nitrate-free bacon"", ""heat_processed"": true}, {""ingredient"": ""hard-boiled eggs"", ""heat_processed"": true}, {""ingredient"": ""celery"", ""heat_processed"": true}, {""ingredient"": ""yellow or red onion"", ""heat_processed"": true}, {""ingredient"": ""fresh parsley leaves"", ""heat_processed"": true}, {""ingredient"": ""dried chives"", ""heat_processed"": false}, {""ingredient"": ""dried mustard"", ""heat_processed"": false}, {""ingredient"": ""paprika"", ""heat_processed"": false}, {""ingredient"": ""ground black pepper"", ""heat_processed"": false}, {""ingredient"": ""olive oil mayo"", ""heat_processed"": true}]","1. They contain a potentially blood pressure-lowering compound called kukoamines.
2. They’re rich in B6 vitamins which are great for nervous system and cardiovascular health.
3. They’re a good source of potassium, copper, Vitamin C, and other nutrients
4. They’re a solid way to get some resistant starch in to your diet, which is an up-and-comer for taking good care of your gut bacteria.",en,False,"[""American"", ""Mediterranean"", ""Western""]",False,False,
Classic (Paleo) Diner-Style Home Fries,"['1 pound organic potatoes, peeled and cut into 1/2-inch cubes', '1 teaspoon salt', '1 medium onion, finely diced (about 1 cup)', '1/2 tablespoon plus 2 tablespoons cooking fat (coconut oil, lard, duck fat)', '1 teaspoon paprika', '1/2 teaspoon chili powder', '1/4 teaspoon salt', '1/4 teaspoon ground black pepper', '1/4 cup fresh parsley leaves, minced (about 1 tablespoon)']","[{""ingredient"": ""potatoes"", ""heat_processed"": true}, {""ingredient"": ""onion"", ""heat_processed"": true}, {""ingredient"": ""coconut oil"", ""heat_processed"": true}, {""ingredient"": ""paprika"", ""heat_processed"": false}, {""ingredient"": ""chili powder"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""black pepper"", ""heat_processed"": false}, {""ingredient"": ""parsley"", ""heat_processed"": false}]","1. Place diced potatoes and salt in a saucepan, cover with 1/2 inch water, and place over high heat. When the water begins to boil, about 6-8 minutes, check the potatoes to see if they’re tender enough to pierce with a fork. If yes, drain them thoroughly in a colander.
2. Meanwhile, while the potatoes are cooking, heat a large skillet over medium-high heat, about 3 minutes. Add fat and allow it to melt. Toss the onion in the pan and sauté, stirring frequently with a wooden spoon. Cook until nicely browned, about 8-10 minutes. Transfer the onion to a small bowl and return the pan to the heat.
3. Add 2 tablespoons coconut oil to the skillet and allow the pan to get hot, about 2 minutes. Add the potato cubes, shaking the skillet to make an even, single layer. Cook the spuds without stirring until the cubes are golden brown on the bottom, about 5 minutes, then carefully flip them with a large spatula and make another single layer. Repeat this process until the cubes are browned on most sides, about 15 minutes.
4. When the potatoes are looking good, add the onions, paprika, chili powder, salt, and pepper to the pan. Stir to blend and heat through. Remove the home fries from the heat, stir in the parsley, and serve immediately.",en,True,"[""American"", ""French"", ""Spanish""]",False,False,
Paleo Caesar Salad,"['1 1/2 pounds yucca root', '2 large eggs, separated into whites and yolks', '1 teaspoon cream of tartar', '1/2 teaspoon baking soda', '1 1/2 tablespoons ghee or coconut oil, melted', '1/2 tablespoon dried parsley flakes', '2 cloves garlic', '2 large egg yolks', '1 (2 ounce) can anchovy fillets (packed in olive oil)', '3 tablespoons fresh lemon juice', '1/2 teaspoon Dijon mustard', '2 tablespoons plus 1/2 cup light-tasting olive oil', '3 romaine hearts, roughly torn', 'salt and black pepper']","[{""ingredient"": ""yucca root"", ""heat_processed"": true}, {""ingredient"": ""eggs"", ""heat_processed"": true}, {""ingredient"": ""cream of tartar"", ""heat_processed"": false}, {""ingredient"": ""baking soda"", ""heat_processed"": false}, {""ingredient"": ""ghee or coconut oil"", ""heat_processed"": true}, {""ingredient"": ""parsley flakes"", ""heat_processed"": false}, {""ingredient"": ""garlic"", ""heat_processed"": true}, {""ingredient"": ""anchovy fillets"", ""heat_processed"": true}, {""ingredient"": ""lemon juice"", ""heat_processed"": false}, {""ingredient"": ""Dijon mustard"", ""heat_processed"": false}, {""ingredient"": ""olive oil"", ""heat_processed"": true}, {""ingredient"": ""romaine hearts"", ""heat_processed"": false}, {""ingredient"": ""salt and black pepper"", ""heat_processed"": false}]","1. Preheat the oven to 350F. Cover a large baking sheet with parchment paper or aluminum foil and brush with a little olive oil.
2. Peel the yucca and chop into 2-inch chunks, removing the stringy bit that runs through the middle of the root. Place the yucca in a food processor and purée, scraping down the sides a few times, until it forms a fine, smooth paste. Place in a large mixing bowl.
3. In a medium bowl, whisk the egg whites, cream of tartar, baking soda, and 1/2 teaspoon salt until the whites are frothy. Pour into the bowl with the yucca and gently fold the whites into the yucca with a rubber scraper until just combined.
4. Use the rubber scraper to spread the yucca on the prepared pan. Spread the “dough” about 1/4 inch thick to cover the whole pan. Bake for 15-20 minutes until the edges begin to brown and the top looks dry and crackly. Set aside until cool to the touch, then flip over and peel off the parchment paper; return the paper to the baking sheet and increase the oven temp to 400F. Cut the yucca into 1/2-inch cubes.
5. In a large bowl, whisk the melted ghee, parsley flakes, and 1 clove crushed garlic, then add the yucca cubes, tossing until coated. Spread the croutons in a single layer on the baking sheet and return to the oven. Bake until brown and crisp, 15-25 minutes. Set aside. (They get even crispier as they cool.)
6. Place the anchovies, 1 clove peeled garlic, lemon juice, Dijon mustard, egg yolks, and the oil in an 16-ounce Ball jar. Blend with a stick blender until thickened and set aside.
7. Place the romaine leaves in a large mixing bowl; add dressing and croutons. Toss gently to combine, then taste and add more salt and pepper, if necessary. The croutons are best eaten on the same day; the dressing can be stored in the refrigerator for up to 5 days.",en,True,"[""Italian"", ""Mediterrane0an"", ""American""]",False,False,
Simple Red Cabbage Salad,"['half head fresh red cabbage', '1/2 cup fresh parsley leaves, minced (about 2 tablespoons)', 'juice of 1 medium lemon (about 2-3 tablespoons)', 'pinch coarse (granulated) garlic powder', 'a few sprinkles salt and ground black pepper', '2-3 tablespoons extra-virgin olive oil']","[{""ingredient"": ""half head fresh red cabbage"", ""heat_processed"": true}, {""ingredient"": ""1/2 cup fresh parsley leaves, minced"", ""heat_processed"": false}, {""ingredient"": ""juice of 1 medium lemon"", ""heat_processed"": false}, {""ingredient"": ""pinch coarse (granulated) garlic powder"", ""heat_processed"": false}, {""ingredient"": ""a few sprinkles salt and ground black pepper"", ""heat_processed"": false}, {""ingredient"": ""2-3 tablespoons extra-virgin olive oil"", ""heat_processed"": false}]","1. Slice the cabbage on a mandoline slicer set to the thinnest setting; you can also grate it in a food processor or cut it with a knife. The idea is to get it cole-slaw thin. Place in a large bowl.
2. Add the minced parsley, lemon juice, garlic powder, salt, and pepper to the cabbage. Toss with your hands, squeezing the lemon juice into the cabbage. Drizzle the olive oil over the top and mix again.
3. Allow the flavors to meld at room temperature before eating, about 20 minutes. Taste and add more salt, pepper, and/or lemon juice if it needs it. Devour! This lasts in the fridge 2 days, then the flavors become muted. If it loses its oomph before you can eat it all raw, toss it in a skillet with some browned ground beef or lamb and stir-fry until everything is hot and caramelized.",en,True,"[""German"", ""Mediterrane0an"", ""Island""]",True,True,
Paleo Ambrosia Salad,"['1 cup raw pecans or pistachios', '1 fresh coconut*', '6 navel oranges', '1 cup red raspberries or pitted bing cherries', '2 cups pineapple chunks, fresh or canned (packed in its own juice and drained)', '1 (14.5 ounces) can coconut milk (Thai Kitchen works best.)', '1 tablespoon coconut sugar or honey', '1 teaspoon pure vanilla extract', '*If you’re not up for the adventure of using a fresh coconut, you can use 1 cup of unsweetened, dried, shredded coconut instead.']","[{""ingredient"": ""raw pecans or pistachios"", ""heat_processed"": true}, {""ingredient"": ""fresh coconut"", ""heat_processed"": true}, {""ingredient"": ""navel oranges"", ""heat_processed"": false}, {""ingredient"": ""red raspberries or pitted bing cherries"", ""heat_processed"": false}, {""ingredient"": ""pineapple chunks"", ""heat_processed"": false}, {""ingredient"": ""coconut milk"", ""heat_processed"": false}, {""ingredient"": ""coconut sugar or honey"", ""heat_processed"": false}, {""ingredient"": ""vanilla extract"", ""heat_processed"": false}, {""ingredient"": ""unsweetened, dried, shredded coconut"", ""heat_processed"": false}]","1. Heat the oven to 350F. Cover a large baking sheet with parchment paper
2. Crack the coconut! Place the coconut on a kitchen towel for traction. Pierce the three “eye” holes on top of the coconut by gently tapping a clean screwdriver with a hammer. This is much easier than it seems. Drain the water from the coconut and put it in the oven, directly on the oven rack, for 10 minutes. Remove the coconut from the oven, wrap it in a kitchen towel, place it in the sink, and smack it with a hammer to crack the shell. The white coconut meat should easily pop out of the thick husk. You can either remove the thin brown skin with a vegetable peeler or leave it on. Grate the coconut in a food processor or with a box grater.
3. Spread 1 cup of the shredded coconut on half of the baking sheet. Place the pecans on the other half of the baking sheet. Toast in the oven until slightly browned, about 5-8 minutes. Remove from the oven and allow to cool while you prepare the fruit.
4. Use a sharp knife to peel the oranges, removing all of the bitter white pulp and the membrane on the outside of the orange sections. With your fingers, separate the orange into sections and cut them into 1-inch pieces. Place in a large bowl. Add the pineapple and raspberries, then toss gently with a rubber scraper to combine. (You might want to reserve a few raspberries for garnish!)
5. Coarsely chop the toasted pecans, then add them to the bowl of fruit, along with the toasted coconut.
6. Gently turn the can of coconut milk upside down and open the bottom with a can opener. Pour off any liquid that’s separated and scoop the thickened coconut milk into the bowl of a standing mixer. Add the coconut sugar and the vanilla extract. Whip on your mixer’s highest setting until the milk is fluffy and has taken on the texture of whipped cream, about 5-7 minutes.
7. Gently fold the whipped coconut milk into the fruit. Allow the flavors to meld 10 minutes before eating. Place in a serving dish and garnish with additional raspberries and nuts. The salad should stay fresh, covered in the fridge, for 3-4 days.",en,True,"[""Thai"", ""Indigenous"", ""Fusion""]",False,True,
Homemade Coconut Butter,"['5 ounces\xa0nsweetened coconut flakes or shreds', '1 tablespoon coconut oil, melted', '3 shakes of sea salt', '1/2 teaspoon almond\xa0 or vanilla extract (optional; not Whole30 compliant)', 'generous helping of patience']","[{""ingredient"": ""nsweetened coconut flakes or shreds"", ""heat_processed"": true}, {""ingredient"": ""coconut oil, melted"", ""heat_processed"": true}, {""ingredient"": ""sea salt"", ""heat_processed"": false}, {""ingredient"": ""almond or vanilla extract"", ""heat_processed"": false}, {""ingredient"": ""patience"", ""heat_processed"": false}]","1. Place the coconut in the bowl of a food processor and add the other ingredients. The “shakes” of the salt are just that: 3 quick wrist flicks of a salt shaker.
2. Turn the food processor on high and walk away. Seriously. Go do something else because it needs to run for 10-15 minutes. Be sure to check it around the 5-minute mark so you can scrape down the bowl and feel smug that you’re making your own coconut butter. Then check it again every 5 minutes or so. You know it’s done when it starts to stick together like cookie dough or is beginning to liquify. It will solidify a bit when it’s cool.
3. When it’s finis, indulge in a little spoonful, then store in an air tight container at room temperature. If it’s cold where you are, you might need to zap it in the microwave for, say, 10-15 seconds to eat it after it solidifies.",en,True,"[""Asian"", ""Island"", ""Fusion""]",True,True,
Spicy Almond Butter,"['1 1/2 cups unsalted, dry roasted almonds', '1 teaspoon ground cumin', '1/4 teaspoon ground cayenne pepper', '3/4 teaspoon salt', '1/2 – 1 tablespoon honey, to taste']","[{""ingredient"": ""unsalted, dry roasted almonds"", ""heat_processed"": true}, {""ingredient"": ""ground cumin"", ""heat_processed"": false}, {""ingredient"": ""ground cayenne pepper"", ""heat_processed"": false}, {""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""honey"", ""heat_processed"": false}]","1. Place the almonds, cumin, cayenne, and salt in a food processor, and process until it forms a paste, about 6-10 minutes.
2. Add the honey and process until combined.",en,False,"[""Middle Eastern"", ""Mediterranean"", ""American""]",False,True,
"Grain-Free Kale Granola, aka, Green-Ola","['6 cups chopped raw kale', '1/2 cup raw almonds', '1/2 cup raw walnuts', '1/2 cup raw pepitas (pumpkin seeds)', '1/2 cup unsweetened coconut flakes', '1/4 cup sesame seeds', '1 tablespoon coconut oil, melted', '1/4 teaspoon ground cinnamon', '1/4 teaspoon ground nutmeg', '1 tablespoon vanilla extract', '1/2 cup pitted dates, about 9', '1/4 cup raisins', '2 tablespoons honey', '1 teaspoon salt']","[{""ingredient"": ""kale"", ""heat_processed"": true}, {""ingredient"": ""almonds"", ""heat_processed"": true}, {""ingredient"": ""walnuts"", ""heat_processed"": true}, {""ingredient"": ""pepitas"", ""heat_processed"": true}, {""ingredient"": ""coconut flakes"", ""heat_processed"": true}, {""ingredient"": ""sesame seeds"", ""heat_processed"": true}, {""ingredient"": ""dates"", ""heat_processed"": true}, {""ingredient"": ""raisins"", ""heat_processed"": true}, {""ingredient"": ""honey"", ""heat_processed"": true}, {""ingredient"": ""kale"", ""heat_processed"": true}, {""ingredient"": ""almonds"", ""heat_processed"": true}, {""ingredient"": ""walnuts"", ""heat_processed"": true}, {""ingredient"": ""pepitas"", ""heat_processed"": true}, {""ingredient"": ""coconut flakes"", ""heat_processed"": true}, {""ingredient"": ""sesame seeds"", ""heat_processed"": true}, {""ingredient"": ""dates"", ""heat_processed"": true}, {""ingredient"": ""raisins"", ""heat_processed"": true}, {""ingredient"": ""honey"", ""heat_processed"": true}]","1. Preheat oven to 375F. Cover a large baking sheet with parchment paper and spread kale on sheet in a single layer. Bake for 10 minutes or so, until crisp and just beginning to brown. Set aside to cool.
2. Coarsely chop the almonds and walnuts; place in a large mixing bowl. Add the pepitas, coconut flakes, and sesame seeds. In a small bowl, add the cinnamon and nutmeg to the melted coconut oil and stir to combine. (Mixing the spices with the melted fat makes the flavors “bloom.”) Add the vanilla extract to the coconut oil, then stir the liquid in to the nuts, tossing with a spatula until everything is combined and coated.
3. Spread the nuts on the baking sheet and roast in the oven for 5 minutes. Meanwhile, finely chop the dates and place in the large mixing bowl, along with the raisins. Remove the nuts from the oven and add to the bowl with the dried fruit. Mix to combine, then drizzle with the honey, and mix again. Add the crispy kale and mix one more time. Spread in a single layer on the baking sheet, sprinkle with the salt, and return to the oven. Roast 5-7 minutes, stirring occasionally, until everything is crisp and toasty.
4. Remove from the oven and allow to cool completely; it should get clumpy like granola. Store in an airtight container. Nibble and enjoy!",en,True,"[""American"", ""Fusion""]",False,True,
Sunshine Sauce,"['2 tablespoons lime juice', '1 clove garlic, minced (about 1 teaspoon)', '1/2 teaspoon crushed red pepper flakes', '1 tablespoon coconut aminos or homemade substitute (not Whole30 compliant when made with substitute)', '1/4 teaspoon powdered ginger', '1/2 teaspoon rice vinegar', '1/4 cup sunflower seed butter (I like Sunbutter; Buy the organic variety with no sugar added)', 'dash ground cayenne pepper (optional)', '1/4 cup canned coconut milk (only added ingredients should be water and guar gum)']","[{""ingredient"": ""lime juice"", ""heat_processed"": false}, {""ingredient"": ""garlic, minced"", ""heat_processed"": false}, {""ingredient"": ""crushed red pepper flakes"", ""heat_processed"": false}, {""ingredient"": ""coconut aminos"", ""heat_processed"": false}, {""ingredient"": ""powdered ginger"", ""heat_processed"": false}, {""ingredient"": ""rice vinegar"", ""heat_processed"": false}, {""ingredient"": ""sunflower seed butter"", ""heat_processed"": false}, {""ingredient"": ""ground cayenne pepper"", ""heat_processed"": false}]","1. Place all the ingredients except the coconut milk in the bowl of a food processor and whirl until well blended. Scrape down the sides of the bowl with a rubber scraper, then add the coconut milk. Process until it’s blended and smooth. Store covered in the fridge. (You could also put all the ingredients in a Ball jar and use a stick blender.
2. Eat with abandon and joyousness.",en,False,"[""Asian"", ""Western"", ""Health-conscious""]",False,True,
Ras el Hanout,"['2 (level) teaspoons salt', '2 (heaping) teaspoons cumin', '2 (level) teaspoons ginger', '2 (conservative) teaspoons black pepper', '1 1/2 teaspoons cinnamon', '1 teaspoon coriander', '1 teaspoon cayenne pepper', '1 teaspoon allspice', '1/2 teaspoon cloves', '1/4 (slightly rounded) teaspoon nutmeg', 'optional: 1 teaspoon saffron threads']","[{""ingredient"": ""salt"", ""heat_processed"": false}, {""ingredient"": ""cumin"", ""heat_processed"": false}, {""ingredient"": ""ginger"", ""heat_processed"": false}, {""ingredient"": ""black pepper"", ""heat_processed"": false}, {""ingredient"": ""cinnamon"", ""heat_processed"": false}, {""ingredient"": ""coriander"", ""heat_processed"": false}, {""ingredient"": ""cayenne pepper"", ""heat_processed"": false}, {""ingredient"": ""allspice"", ""heat_processed"": false}, {""ingredient"": ""cloves"", ""heat_processed"": false}, {""ingredient"": ""nutmeg"", ""heat_processed"": false}, {""ingredient"": ""saffron threads"", ""heat_processed"": false}]","1. Blend all spices together in a bowl and store in an air-tight container. For vegetables and meats, add 1-2 teaspoons per pound.",en,False,"[""Indian"", ""Middle Eastern"", ""Mediterranean""]",True,True,
